data,date,time,alertDate,category,category_desc,matrix_id,rid
Machanaim landing pad,2026-03-11,17:53:26.0,2026-03-11T17:53:00.0,13,The event has ended,10,452191
Sdeh Eliezer,2026-03-11,17:53:26.0,2026-03-11T17:53:00.0,13,The event has ended,10,452190
Ramot Naftali,2026-03-11,17:53:26.0,2026-03-11T17:53:00.0,13,The event has ended,10,452189
Rehaniya,2026-03-11,17:53:26.0,2026-03-11T17:53:00.0,13,The event has ended,10,452188
Kadita,2026-03-11,17:53:26.0,2026-03-11T17:53:00.0,13,The event has ended,10,452187
Zivon,2026-03-11,17:53:26.0,2026-03-11T17:53:00.0,13,The event has ended,10,452186
Amuka,2026-03-11,17:53:26.0,2026-03-11T17:53:00.0,13,The event has ended,10,452185
Alma,2026-03-11,17:53:26.0,2026-03-11T17:53:00.0,13,The event has ended,10,452184
Safsufa (Kfar Hoshen),2026-03-11,17:53:26.0,2026-03-11T17:53:00.0,13,The event has ended,10,452183
Sassa,2026-03-11,17:53:26.0,2026-03-11T17:53:00.0,13,The event has ended,10,452182
Mishmar HaYarden,2026-03-11,17:53:26.0,2026-03-11T17:53:00.0,13,The event has ended,10,452181
Marom HaGalil Regional Center,2026-03-11,17:53:26.0,2026-03-11T17:53:00.0,13,The event has ended,10,452180
Malkia,2026-03-11,17:53:26.0,2026-03-11T17:53:00.0,13,The event has ended,10,452179
Meron,2026-03-11,17:53:26.0,2026-03-11T17:53:00.0,13,The event has ended,10,452178
Kerem Ben Zimra,2026-03-11,17:53:26.0,2026-03-11T17:53:00.0,13,The event has ended,10,452177
Yir'on,2026-03-11,17:53:26.0,2026-03-11T17:53:00.0,13,The event has ended,10,452176
Iftach,2026-03-11,17:53:26.0,2026-03-11T17:53:00.0,13,The event has ended,10,452175
Dalton,2026-03-11,17:53:26.0,2026-03-11T17:53:00.0,13,The event has ended,10,452174
Dishon,2026-03-11,17:53:26.0,2026-03-11T17:53:00.0,13,The event has ended,10,452173
Dovev,2026-03-11,17:53:26.0,2026-03-11T17:53:00.0,13,The event has ended,10,452172
Jish (Gush Halav),2026-03-11,17:53:26.0,2026-03-11T17:53:00.0,13,The event has ended,10,452171
Baram,2026-03-11,17:53:26.0,2026-03-11T17:53:00.0,13,The event has ended,10,452170
Bar Yochai,2026-03-11,17:53:26.0,2026-03-11T17:53:00.0,13,The event has ended,10,452169
Ayelet HaShachar,2026-03-11,17:53:26.0,2026-03-11T17:53:00.0,13,The event has ended,10,452168
Ramat Dalton Industrial Zone,2026-03-11,17:53:26.0,2026-03-11T17:53:00.0,13,The event has ended,10,452167
Or HaGanuz,2026-03-11,17:53:26.0,2026-03-11T17:53:00.0,13,The event has ended,10,452166
