data,date,time,alertDate,category,category_desc,matrix_id,rid
Dishon,2026-03-12,13:20:08.0,2026-03-12T13:20:00.0,1,Missiles,1,465363
Zarit,2026-03-12,12:36:02.0,2026-03-12T12:36:00.0,13,The event has ended,10,465362
Zarit,2026-03-12,12:26:33.0,2026-03-12T12:27:00.0,1,Missiles,1,465361
Shomera,2026-03-12,12:16:21.0,2026-03-12T12:16:00.0,13,The event has ended,10,465360
Arab al-Aramshe,2026-03-12,12:16:21.0,2026-03-12T12:16:00.0,13,The event has ended,10,465359
Gornot HaGalil,2026-03-12,12:16:21.0,2026-03-12T12:16:00.0,13,The event has ended,10,465358
Goren,2026-03-12,12:16:21.0,2026-03-12T12:16:00.0,13,The event has ended,10,465357
Eilon,2026-03-12,12:16:21.0,2026-03-12T12:16:00.0,13,The event has ended,10,465356
Idmit,2026-03-12,12:16:21.0,2026-03-12T12:16:00.0,13,The event has ended,10,465355
Eilon,2026-03-12,12:11:42.0,2026-03-12T12:12:00.0,2,Hostile aircraft intrusion,6,465354
Goren,2026-03-12,12:11:32.0,2026-03-12T12:12:00.0,2,Hostile aircraft intrusion,6,465353
Gornot HaGalil,2026-03-12,12:11:26.0,2026-03-12T12:11:00.0,2,Hostile aircraft intrusion,6,465352
Idmit,2026-03-12,12:11:26.0,2026-03-12T12:11:00.0,2,Hostile aircraft intrusion,6,465351
Shomera,2026-03-12,12:11:09.0,2026-03-12T12:11:00.0,2,Hostile aircraft intrusion,6,465350
Arab al-Aramshe,2026-03-12,12:11:09.0,2026-03-12T12:11:00.0,2,Hostile aircraft intrusion,6,465349
Kedem Arava,2026-03-12,09:40:41.0,2026-03-12T09:41:00.0,13,The event has ended,10,465348
Almog Junction,2026-03-12,09:40:41.0,2026-03-12T09:41:00.0,13,The event has ended,10,465347
Beit Hogla,2026-03-12,09:40:41.0,2026-03-12T09:41:00.0,13,The event has ended,10,465346
Kalia,2026-03-12,09:40:41.0,2026-03-12T09:41:00.0,13,The event has ended,10,465345
